"D","Date1","Date2","区名","count"
"2022/12/26～2022/1/1","2022/12/26","2022/1/1","中央区",5
"2022/12/26～2022/1/1","2022/12/26","2022/1/1","北区",9
"2022/12/26～2022/1/1","2022/12/26","2022/1/1","東区",23
"2022/12/26～2022/1/1","2022/12/26","2022/1/1","白石区",7
"2022/12/26～2022/1/1","2022/12/26","2022/1/1","厚別区",4
"2022/12/26～2022/1/1","2022/12/26","2022/1/1","豊平区",5
"2022/12/26～2022/1/1","2022/12/26","2022/1/1","清田区",0
"2022/12/26～2022/1/1","2022/12/26","2022/1/1","南区",4
"2022/12/26～2022/1/1","2022/12/26","2022/1/1","西区",26
"2022/12/26～2022/1/1","2022/12/26","2022/1/1","手稲区",21
"2022/1/2～2022/1/8","2022/1/2","2022/1/8","中央区",24
"2022/1/2～2022/1/8","2022/1/2","2022/1/8","北区",20
"2022/1/2～2022/1/8","2022/1/2","2022/1/8","東区",13
"2022/1/2～2022/1/8","2022/1/2","2022/1/8","白石区",17
"2022/1/2～2022/1/8","2022/1/2","2022/1/8","厚別区",8
"2022/1/2～2022/1/8","2022/1/2","2022/1/8","豊平区",10
"2022/1/2～2022/1/8","2022/1/2","2022/1/8","清田区",30
"2022/1/2～2022/1/8","2022/1/2","2022/1/8","南区",4
"2022/1/2～2022/1/8","2022/1/2","2022/1/8","西区",26
"2022/1/2～2022/1/8","2022/1/2","2022/1/8","手稲区",31
"2021/12/26～2022/1/1","2021/12/26","2022/1/1","中央区",5
"2021/12/26～2022/1/1","2021/12/26","2022/1/1","北区",9
"2021/12/26～2022/1/1","2021/12/26","2022/1/1","東区",23
"2021/12/26～2022/1/1","2021/12/26","2022/1/1","白石区",7
"2021/12/26～2022/1/1","2021/12/26","2022/1/1","厚別区",4
"2021/12/26～2022/1/1","2021/12/26","2022/1/1","豊平区",5
"2021/12/26～2022/1/1","2021/12/26","2022/1/1","清田区",0
"2021/12/26～2022/1/1","2021/12/26","2022/1/1","南区",4
"2021/12/26～2022/1/1","2021/12/26","2022/1/1","西区",26
"2021/12/26～2022/1/1","2021/12/26","2022/1/1","手稲区",21
"2021/12/19～2021/12/25","2021/12/19","2021/12/25","中央区",18
"2021/12/19～2021/12/25","2021/12/19","2021/12/25","北区",7
"2021/12/19～2021/12/25","2021/12/19","2021/12/25","東区",4
"2021/12/19～2021/12/25","2021/12/19","2021/12/25","白石区",5
